strategy,t2,margin,recall_lt30,precision_macro,f1_macro,accuracy
promote_lt30,0.2,0.0,0.9168912848158132,0.4130390011909359,0.1877464713884612,0.2161168471417779
promote_lt30,0.2,-0.02,0.9168912848158132,0.4130390011909359,0.1877464713884612,0.2161168471417779
promote_lt30,0.2,-0.05,0.9168912848158132,0.4130390011909359,0.1877464713884612,0.2161168471417779
promote_lt30,0.2,-0.1,0.9168912848158132,0.4130390011909359,0.1877464713884612,0.2161168471417779
promote_lt30,0.25,0.0,0.811769991015274,0.41091434009869965,0.27102362447282796,0.3032485520020146
promote_lt30,0.25,-0.02,0.811769991015274,0.41091434009869965,0.27102362447282796,0.3032485520020146
promote_lt30,0.25,-0.05,0.811769991015274,0.41091434009869965,0.27102362447282796,0.3032485520020146
promote_lt30,0.25,-0.1,0.811769991015274,0.41091434009869965,0.27102362447282796,0.3032485520020146
promote_lt30,0.3,-0.1,0.6949685534591195,0.42001056394965636,0.3369080318943747,0.3767313019390582
promote_lt30,0.3,0.0,0.6792452830188679,0.42009909772209114,0.34742362125060255,0.3890203978846638
promote_lt30,0.3,-0.02,0.6792452830188679,0.42009909772209114,0.34742362125060255,0.3890203978846638
promote_lt30,0.3,-0.05,0.6792452830188679,0.42009909772209114,0.34742362125060255,0.3890203978846638
promote_lt30,0.35,-0.1,0.6347708894878706,0.42262390447986675,0.3554560144421904,0.3976832032233694
promote_lt30,0.4,-0.1,0.6221922731356694,0.425571015371429,0.36055544014549074,0.4022160664819945
promote_lt30,0.45,-0.1,0.6217430368373764,0.4260781843883756,0.3611474070722434,0.402669352807857
promote_lt30,0.5,-0.1,0.6217430368373764,0.4260781843883756,0.3611474070722434,0.402669352807857
promote_lt30,0.55,-0.1,0.6217430368373764,0.4260781843883756,0.3611474070722434,0.402669352807857
promote_lt30,0.6,-0.1,0.6217430368373764,0.4260781843883756,0.3611474070722434,0.402669352807857
promote_lt30,0.65,-0.1,0.6217430368373764,0.4260781843883756,0.3611474070722434,0.402669352807857
promote_lt30,0.7,-0.1,0.6217430368373764,0.4260781843883756,0.3611474070722434,0.402669352807857
promote_lt30,0.35,-0.05,0.5714285714285714,0.423273304264687,0.38276550922284525,0.43203223369428356
promote_lt30,0.35,-0.02,0.5404312668463612,0.4230230578356997,0.39170329515865415,0.44417023419793505
promote_lt30,0.4,-0.05,0.5354896675651393,0.42763001079414537,0.3929764227674631,0.44326366154621
promote_lt30,0.45,-0.05,0.5300988319856245,0.4289235363642843,0.39524973201026653,0.44532863258625033
promote_lt30,0.5,-0.05,0.5300988319856245,0.4289235363642843,0.39524973201026653,0.44532863258625033
promote_lt30,0.55,-0.05,0.5300988319856245,0.4289235363642843,0.39524973201026653,0.44532863258625033
promote_lt30,0.6,-0.05,0.5300988319856245,0.4289235363642843,0.39524973201026653,0.44532863258625033
promote_lt30,0.65,-0.05,0.5300988319856245,0.4289235363642843,0.39524973201026653,0.44532863258625033
promote_lt30,0.7,-0.05,0.5300988319856245,0.4289235363642843,0.39524973201026653,0.44532863258625033
promote_lt30,0.35,0.0,0.5296495956873315,0.42272830893406765,0.3944962091434199,0.44840090657265175
promote_lt30,0.4,-0.02,0.48247978436657685,0.42793200507264206,0.40599718214434866,0.4615462100226643
promote_lt30,0.45,-0.02,0.46720575022461813,0.43017391654573217,0.41040744833515697,0.4661798035759255
promote_lt30,0.5,-0.02,0.46540880503144655,0.42998241593944103,0.4102531988020661,0.4661294384286074
promote_lt30,0.55,-0.02,0.46540880503144655,0.42998241593944103,0.4102531988020661,0.4661294384286074
promote_lt30,0.6,-0.02,0.46540880503144655,0.42998241593944103,0.4102531988020661,0.4661294384286074
promote_lt30,0.65,-0.02,0.46540880503144655,0.42998241593944103,0.4102531988020661,0.4661294384286074
promote_lt30,0.7,-0.02,0.46540880503144655,0.42998241593944103,0.4102531988020661,0.4661294384286074
promote_lt30,0.4,0.0,0.4555256064690027,0.4280785003756346,0.41204499898703856,0.4705615713925963
promote_lt30,0.45,0.0,0.43216531895777177,0.4315106957343955,0.41849753804690737,0.4779148829010325
argmax_default,,,0.42857142857142855,0.43117091362946863,0.41830473011844777,0.47796524804835055
promote_lt30,0.5,0.0,0.42857142857142855,0.43117091362946863,0.41830473011844777,0.47796524804835055
promote_lt30,0.55,0.0,0.42857142857142855,0.43117091362946863,0.41830473011844777,0.47796524804835055
promote_lt30,0.6,0.0,0.42857142857142855,0.43117091362946863,0.41830473011844777,0.47796524804835055
promote_lt30,0.65,0.0,0.42857142857142855,0.43117091362946863,0.41830473011844777,0.47796524804835055
promote_lt30,0.7,0.0,0.42857142857142855,0.43117091362946863,0.41830473011844777,0.47796524804835055
